x	RungeKutta4	SoluciónExacta	Error
1	1	1	0
1.01	0.978621	0.99418	0.0155592
1.02	0.957753	0.98836	0.0306079
1.03	0.937379	0.982541	0.0451614
1.04	0.917486	0.976721	0.0592345
1.05	0.89806	0.970901	0.0728413
1.06	0.879086	0.965081	0.0859957
1.07	0.860551	0.959262	0.0987106
1.08	0.842443	0.953442	0.110999
1.09	0.82475	0.947622	0.122872
1.1	0.807459	0.941802	0.134343
1.11	0.79056	0.935983	0.145423
1.12	0.774041	0.930163	0.156122
1.13	0.757892	0.924343	0.166451
1.14	0.742103	0.918523	0.17642
1.15	0.726664	0.912703	0.186039
1.16	0.711566	0.906884	0.195318
1.17	0.696799	0.901064	0.204265
1.18	0.682354	0.895244	0.21289
1.19	0.668224	0.889424	0.221201
1.2	0.654399	0.883605	0.229206
1.21	0.640872	0.877785	0.236913
1.22	0.627635	0.871965	0.24433
1.23	0.61468	0.866145	0.251465
1.24	0.602001	0.860326	0.258325
1.25	0.58959	0.854506	0.264916
1.26	0.577441	0.848686	0.271245
1.27	0.565547	0.842866	0.27732
1.28	0.553901	0.837047	0.283145
1.29	0.542498	0.831227	0.288729
1.3	0.531332	0.825407	0.294075
1.31	0.520396	0.819587	0.299191
1.32	0.509685	0.813767	0.304082
1.33	0.499195	0.807948	0.308753
1.34	0.488918	0.802128	0.31321
1.35	0.478851	0.796308	0.317457
1.36	0.468989	0.790488	0.3215
1.37	0.459326	0.784669	0.325343
1.38	0.449858	0.778849	0.328991
1.39	0.44058	0.773029	0.332449
1.4	0.431488	0.767209	0.335721
1.41	0.422578	0.76139	0.338812
1.42	0.413845	0.75557	0.341725
1.43	0.405286	0.74975	0.344464
1.44	0.396896	0.74393	0.347034
1.45	0.388672	0.73811	0.349438
1.46	0.38061	0.732291	0.351681
1.47	0.372707	0.726471	0.353764
1.48	0.364958	0.720651	0.355693
1.49	0.35736	0.714831	0.357471
1.5	0.349911	0.709012	0.3591
1.51	0.342607	0.703192	0.360585
1.52	0.335444	0.697372	0.361928
