x	RungeKutta4	SoluciónExacta	Error
-1	0	1.76594e-17	1.76594e-17
-0.99	-7.88007e-05	-7.88007e-05	7.72631e-13
-0.98	-0.000316238	-0.000316238	1.57066e-12
-0.97	-0.000713849	-0.000713849	2.39469e-12
-0.96	-0.00127314	-0.00127314	3.24457e-12
-0.95	-0.00199561	-0.00199561	4.12075e-12
-0.94	-0.00288272	-0.00288272	5.02317e-12
-0.93	-0.00393591	-0.00393591	5.95224e-12
-0.92	-0.0051566	-0.0051566	6.90804e-12
-0.91	-0.00654617	-0.00654617	7.89075e-12
-0.9	-0.008106	-0.008106	8.9006e-12
-0.89	-0.00983742	-0.00983742	9.93783e-12
-0.88	-0.0117418	-0.0117418	1.10024e-11
-0.87	-0.0138203	-0.0138203	1.20948e-11
-0.86	-0.0160743	-0.0160743	1.3215e-11
-0.85	-0.0185051	-0.0185051	1.43632e-11
-0.84	-0.0211137	-0.0211137	1.55398e-11
-0.83	-0.0239015	-0.0239015	1.67446e-11
-0.82	-0.0268696	-0.0268696	1.79781e-11
-0.81	-0.0300191	-0.0300191	1.92403e-11
-0.8	-0.0333512	-0.0333512	2.05315e-11
-0.79	-0.0368668	-0.0368668	2.18518e-11
-0.78	-0.0405672	-0.0405672	2.32015e-11
-0.77	-0.0444533	-0.0444533	2.45806e-11
-0.76	-0.0485261	-0.0485261	2.59894e-11
-0.75	-0.0527866	-0.0527866	2.7428e-11
-0.74	-0.0572358	-0.0572358	2.88966e-11
-0.73	-0.0618746	-0.0618746	3.03956e-11
-0.72	-0.0667039	-0.0667039	3.19247e-11
-0.71	-0.0717246	-0.0717246	3.34845e-11
-0.7	-0.0769374	-0.0769374	3.50748e-11
-0.69	-0.0823434	-0.0823434	3.66962e-11
-0.68	-0.0879432	-0.0879432	3.83485e-11
-0.67	-0.0937376	-0.0937376	4.00323e-11
-0.66	-0.0997273	-0.0997273	4.17473e-11
-0.65	-0.105913	-0.105913	4.3494e-11
-0.64	-0.112296	-0.112296	4.52724e-11
-0.63	-0.118876	-0.118876	4.70827e-11
-0.62	-0.125654	-0.125654	4.89252e-11
-0.61	-0.132631	-0.132631	5.07999e-11
-0.6	-0.139807	-0.139807	5.2707e-11
-0.59	-0.147183	-0.147183	5.46469e-11
-0.58	-0.154759	-0.154759	5.66195e-11
-0.57	-0.162536	-0.162536	5.86251e-11
-0.56	-0.170515	-0.170515	6.06639e-11
-0.55	-0.178695	-0.178695	6.2736e-11
-0.54	-0.187078	-0.187078	6.48417e-11
-0.53	-0.195663	-0.195663	6.6981e-11
-0.52	-0.204452	-0.204452	6.91542e-11
-0.51	-0.213443	-0.213443	7.13615e-11
-0.5	-0.222639	-0.222639	7.36029e-11
-0.49	-0.232038	-0.232038	7.58788e-11
-0.48	-0.241642	-0.241642	7.81894e-11
-0.47	-0.251451	-0.251451	8.05347e-11
-0.46	-0.261464	-0.261464	8.2915e-11
-0.45	-0.271682	-0.271682	8.53305e-11
-0.44	-0.282106	-0.282106	8.77812e-11
-0.43	-0.292735	-0.292735	9.02675e-11
-0.42	-0.303569	-0.303569	9.27897e-11
-0.41	-0.314609	-0.314609	9.53475e-11
-0.4	-0.325855	-0.325855	9.79417e-11
-0.39	-0.337307	-0.337307	1.00572e-10
-0.38	-0.348964	-0.348964	1.03239e-10
-0.37	-0.360827	-0.360827	1.05943e-10
-0.36	-0.372897	-0.372897	1.08683e-10
-0.35	-0.385172	-0.385172	1.11461e-10
-0.34	-0.397653	-0.397653	1.14276e-10
-0.33	-0.41034	-0.41034	1.17128e-10
-0.32	-0.423232	-0.423232	1.20018e-10
-0.31	-0.436331	-0.436331	1.22946e-10
-0.3	-0.449634	-0.449634	1.25913e-10
-0.29	-0.463143	-0.463143	1.28917e-10
-0.28	-0.476858	-0.476858	1.31961e-10
-0.27	-0.490777	-0.490777	1.35043e-10
-0.26	-0.504901	-0.504901	1.38164e-10
-0.25	-0.51923	-0.51923	1.41325e-10
-0.24	-0.533763	-0.533763	1.44525e-10
-0.23	-0.548501	-0.548501	1.47764e-10
-0.22	-0.563442	-0.563442	1.51044e-10
-0.21	-0.578587	-0.578587	1.54364e-10
-0.2	-0.593935	-0.593935	1.57724e-10
-0.19	-0.609487	-0.609487	1.61125e-10
