x	RungeKutta4	SoluciónExacta	Error
3.14159	3	-3	6
3.15159	2.99985	-3.00015	6
3.16159	2.9994	-3.0006	6
3.17159	2.99865	-3.00135	6
3.18159	2.9976	-3.0024	6
3.19159	2.99625	-3.00375	6
3.20159	2.99461	-3.0054	6.00001
3.21159	2.99266	-3.00736	6.00002
3.22159	2.99042	-3.00961	6.00003
3.23159	2.98788	-3.01217	6.00005
3.24159	2.98505	-3.01502	6.00007
3.25159	2.98192	-3.01819	6.00011
3.26159	2.9785	-3.02165	6.00016
3.27159	2.97479	-3.02542	6.00021
3.28159	2.97079	-3.0295	6.00029
3.29159	2.9665	-3.03388	6.00038
3.30159	2.96193	-3.03856	6.00049
3.31159	2.95706	-3.04356	6.00062
3.32159	2.95192	-3.04886	6.00078
3.33159	2.9465	-3.05448	6.00097
3.34159	2.94079	-3.0604	6.00119
3.35159	2.93481	-3.06664	6.00145
3.36159	2.92856	-3.07319	6.00174
3.37159	2.92203	-3.08005	6.00208
3.38159	2.91523	-3.08723	6.00246
3.39159	2.90817	-3.09473	6.0029
3.40159	2.90085	-3.10254	6.00339
3.41159	2.89326	-3.11068	6.00394
3.42159	2.88541	-3.11914	6.00455
3.43159	2.87731	-3.12792	6.00523
3.44159	2.86896	-3.13703	6.00599
3.45159	2.86036	-3.14646	6.00682
3.46159	2.85151	-3.15622	6.00773
3.47159	2.84242	-3.16632	6.00874
3.48159	2.83309	-3.17675	6.00983
3.49159	2.82352	-3.18751	6.01103
3.50159	2.81373	-3.19861	6.01233
3.51159	2.8037	-3.21004	6.01374
3.52159	2.79345	-3.22182	6.01527
3.53159	2.78298	-3.23395	6.01692
3.54159	2.77229	-3.24641	6.0187
3.55159	2.76139	-3.25923	6.02062
3.56159	2.75028	-3.2724	6.02267
3.57159	2.73896	-3.28592	6.02488
3.58159	2.72744	-3.2998	6.02724
3.59159	2.71573	-3.31403	6.02976
3.60159	2.70382	-3.32863	6.03244
3.61159	2.69172	-3.34359	6.03531
3.62159	2.67944	-3.35891	6.03835
3.63159	2.66698	-3.37461	6.04158
3.64159	2.65434	-3.39068	6.04501
3.65159	2.64153	-3.40712	6.04865
3.66159	2.62855	-3.42394	6.05249
3.67159	2.61541	-3.44115	6.05655
3.68159	2.60211	-3.45874	6.06084
3.69159	2.58865	-3.47671	6.06537
3.70159	2.57505	-3.49508	6.07013
3.71159	2.5613	-3.51385	6.07514
3.72159	2.54741	-3.53301	6.08041
3.73159	2.53338	-3.55257	6.08595
3.74159	2.51922	-3.57254	6.09176
3.75159	2.50493	-3.59292	6.09784
3.76159	2.49052	-3.6137	6.10422
3.77159	2.47599	-3.63491	6.1109
3.78159	2.46135	-3.65654	6.11788
3.79159	2.44659	-3.67858	6.12518
3.80159	2.43173	-3.70106	6.1328
3.81159	2.41678	-3.72397	6.14075
3.82159	2.40172	-3.74731	6.14903
3.83159	2.38657	-3.7711	6.15767
3.84159	2.37134	-3.79532	6.16666
3.85159	2.35602	-3.82	6.17602
3.86159	2.34063	-3.84513	6.18575
3.87159	2.32516	-3.87071	6.19586
3.88159	2.30962	-3.89675	6.20637
3.89159	2.29401	-3.92326	6.21727
3.90159	2.27834	-3.95024	6.22858
3.91159	2.26262	-3.97769	6.24031
3.92159	2.24684	-4.00562	6.25246
3.93159	2.23102	-4.03403	6.26505
3.94159	2.21515	-4.06293	6.27808
3.95159	2.19924	-4.09233	6.29156
3.96159	2.18329	-4.12221	6.30551
3.97159	2.16731	-4.15261	6.31992
3.98159	2.15131	-4.1835	6.33481
3.99159	2.13528	-4.21491	6.35019
4.00159	2.11922	-4.24684	6.36606
4.01159	2.10316	-4.27928	6.38244
4.02159	2.08708	-4.31225	6.39933
4.03159	2.07099	-4.34576	6.41674
4.04159	2.05489	-4.37979	6.43469
4.05159	2.03879	-4.41437	6.45317
4.06159	2.0227	-4.4495	6.4722
4.07159	2.00661	-4.48518	6.49179
4.08159	1.99053	-4.52141	6.51194
4.09159	1.97446	-4.5582	6.53267
4.10159	1.95841	-4.59557	6.55398
4.11159	1.94238	-4.6335	6.57588
4.12159	1.92637	-4.67201	6.59838
4.13159	1.91038	-4.7111	6.62148
4.14159	1.89442	-4.75078	6.64521
4.15159	1.8785	-4.79106	6.66956
4.16159	1.86261	-4.83193	6.69454
4.17159	1.84676	-4.87341	6.72016
4.18159	1.83095	-4.91549	6.74644
4.19159	1.81518	-4.95819	6.77337
4.20159	1.79946	-5.00151	6.80097
4.21159	1.78378	-5.04545	6.82924
4.22159	1.76816	-5.09003	6.85819
4.23159	1.7526	-5.13524	6.88783
4.24159	1.73709	-5.18109	6.91818
4.25159	1.72163	-5.22759	6.94922
4.26159	1.70625	-5.27474	6.98098
4.27159	1.69092	-5.32255	7.01347
4.28159	1.67566	-5.37102	7.04668
4.29159	1.66047	-5.42015	7.08062
4.30159	1.64535	-5.46996	7.11531
4.31159	1.6303	-5.52045	7.15075
4.32159	1.61533	-5.57163	7.18695
4.33159	1.60043	-5.62349	7.22392
4.34159	1.58561	-5.67604	7.26165
4.35159	1.57087	-5.72929	7.30017
4.36159	1.55622	-5.78325	7.33947
4.37159	1.54165	-5.83792	7.37956
4.38159	1.52716	-5.8933	7.42045
4.39159	1.51276	-5.94939	7.46215
4.40159	1.49845	-6.00621	7.50466
4.41159	1.48423	-6.06376	7.54799
4.42159	1.4701	-6.12205	7.59214
4.43159	1.45606	-6.18107	7.63713
4.44159	1.44212	-6.24083	7.68294
4.45159	1.42827	-6.30134	7.7296
4.46159	1.41452	-6.36259	7.77711
4.47159	1.40086	-6.42461	7.82547
4.48159	1.38731	-6.48738	7.87469
4.49159	1.37385	-6.55092	7.92477
4.50159	1.3605	-6.61522	7.97572
4.51159	1.34725	-6.68029	8.02754
4.52159	1.3341	-6.74614	8.08024
4.53159	1.32105	-6.81277	8.13382
4.54159	1.30811	-6.88018	8.18828
4.55159	1.29527	-6.94837	8.24364
4.56159	1.28253	-7.01735	8.29989
4.57159	1.26991	-7.08713	8.35704
4.58159	1.25739	-7.15769	8.41508
4.59159	1.24498	-7.22906	8.47403
4.60159	1.23267	-7.30122	8.53389
4.61159	1.22047	-7.37419	8.59466
4.62159	1.20838	-7.44796	8.65634
4.63159	1.19641	-7.52254	8.71894
4.64159	1.18453	-7.59792	8.78245
4.65159	1.17277	-7.67411	8.84689
4.66159	1.16112	-7.75112	8.91224
4.67159	1.14958	-7.82894	8.97852
4.68159	1.13815	-7.90757	9.04572
4.69159	1.12683	-7.98701	9.11384
4.70159	1.11562	-8.06727	9.18289
4.71159	1.10452	-8.14835	9.25287
4.72159	1.09353	-8.23024	9.32377
4.73159	1.08265	-8.31295	9.3956
4.74159	1.07188	-8.39647	9.46835
4.75159	1.06122	-8.4808	9.54202
4.76159	1.05067	-8.56595	9.61662
4.77159	1.04023	-8.65192	9.69215
4.78159	1.0299	-8.73869	9.76859
4.79159	1.01968	-8.82627	9.84595
4.80159	1.00957	-8.91466	9.92423
4.81159	0.999572	-9.00385	10.0034
4.82159	0.98968	-9.09385	10.0835
4.83159	0.979896	-9.18465	10.1645
4.84159	0.970221	-9.27624	10.2465
4.85159	0.960653	-9.36862	10.3293
4.86159	0.951194	-9.4618	10.413
4.87159	0.941841	-9.55576	10.4976
4.88159	0.932595	-9.65049	10.5831
4.89159	0.923455	-9.74601	10.6695
4.90159	0.914421	-9.84229	10.7567
4.91159	0.905493	-9.93934	10.8448
4.92159	0.896669	-10.0371	10.9338
4.93159	0.88795	-10.1357	11.0237
4.94159	0.879335	-10.235	11.1143
4.95159	0.870823	-10.335	11.2059
4.96159	0.862414	-10.4358	11.2982
4.97159	0.854108	-10.5373	11.3914
4.98159	0.845903	-10.6395	11.4854
4.99159	0.837799	-10.7424	11.5802
5.00159	0.829795	-10.846	11.6758
5.01159	0.821892	-10.9503	11.7722
5.02159	0.814088	-11.0553	11.8694
5.03159	0.806382	-11.161	11.9673
5.04159	0.798774	-11.2673	12.066
5.05159	0.791264	-11.3742	12.1655
5.06159	0.783851	-11.4818	12.2656
5.07159	0.776533	-11.59	12.3665
5.08159	0.769311	-11.6988	12.4681
5.09159	0.762184	-11.8082	12.5704
5.10159	0.75515	-11.9182	12.6733
5.11159	0.74821	-12.0287	12.7769
5.12159	0.741362	-12.1398	12.8812
5.13159	0.734606	-12.2515	12.9861
5.14159	0.727942	-12.3636	13.0916
5.15159	0.721368	-12.4763	13.1977
5.16159	0.714884	-12.5895	13.3043
5.17159	0.708488	-12.7031	13.4116
5.18159	0.702182	-12.8172	13.5194
5.19159	0.695962	-12.9317	13.6277
5.20159	0.68983	-13.0467	13.7365
5.21159	0.683784	-13.1621	13.8458
5.22159	0.677823	-13.2778	13.9556
5.23159	0.671947	-13.3939	14.0659
5.24159	0.666155	-13.5104	14.1765
5.25159	0.660446	-13.6272	14.2876
5.26159	0.65482	-13.7442	14.3991
5.27159	0.649275	-13.8616	14.5109
5.28159	0.643812	-13.9792	14.623
5.29159	0.638429	-14.0971	14.7355
5.30159	0.633126	-14.2152	14.8483
5.31159	0.627901	-14.3335	14.9614
5.32159	0.622755	-14.4519	15.0747
5.33159	0.617687	-14.5705	15.1882
5.34159	0.612695	-14.6892	15.3019
5.35159	0.607779	-14.808	15.4158
5.36159	0.602939	-14.9269	15.5298
5.37159	0.598173	-15.0458	15.644
5.38159	0.593482	-15.1647	15.7582
5.39159	0.588864	-15.2837	15.8725
5.40159	0.584318	-15.4026	15.9869
5.41159	0.579844	-15.5214	16.1013
5.42159	0.575442	-15.6402	16.2156
5.43159	0.57111	-15.7588	16.3299
5.44159	0.566848	-15.8773	16.4441
5.45159	0.562656	-15.9956	16.5582
5.46159	0.558532	-16.1137	16.6722
5.47159	0.554476	-16.2315	16.786
5.48159	0.550488	-16.3491	16.8996
5.49159	0.546566	-16.4664	17.013
5.50159	0.54271	-16.5834	17.1261
5.51159	0.53892	-16.7001	17.239
5.52159	0.535194	-16.8163	17.3515
5.53159	0.531533	-16.9321	17.4637
5.54159	0.527936	-17.0475	17.5755
5.55159	0.524401	-17.1624	17.6868
5.56159	0.520929	-17.2768	17.7978
5.57159	0.517518	-17.3907	17.9082
5.58159	0.514169	-17.504	18.0181
5.59159	0.510881	-17.6166	18.1275
5.60159	0.507653	-17.7287	18.2363
5.61159	0.504484	-17.84	18.3445
5.62159	0.501374	-17.9507	18.452
5.63159	0.498323	-18.0606	18.5589
5.64159	0.49533	-18.1697	18.665
5.65159	0.492394	-18.278	18.7704
5.66159	0.489515	-18.3855	18.875
5.67159	0.486693	-18.4922	18.9788
