0 0
0 0

0.01 0.00980067
0.01 0

0.02 0.0368424
0.02 0

0.03 0.0742802
0.03 0

0.04 0.111473
0.04 0

0.05 0.135076
0.05 0

0.06 0.130449
0.06 0

0.07 0.0832839
0.07 0

0.08 -0.0186877
0.08 0

0.09 -0.184034
0.09 0

0.1 -0.416147
0.1 0

0.11 -0.712086
0.11 0

0.12 -1.06185
0.12 0

0.13 -1.44814
0.13 0

0.14 -1.84676
0.14 0

0.15 -2.22748
0.15 0

0.16 -2.55563
0.16 0

0.17 -2.79405
0.17 0

0.18 -2.9055
0.18 0

0.19 -2.85539
0.19 0

0.2 -2.61457
0.2 0

0.21 -2.16205
0.21 0

0.22 -1.48749
0.22 0

0.23 -0.593287
0.23 0

0.24 0.503994
0.24 0

0.25 1.77289
0.25 0

0.26 3.16717
0.26 0

0.27 4.62691
0.27 0

0.28 6.08044
0.28 0

0.29 7.44722
0.29 0

0.3 8.64153
0.3 0

0.31 9.57677
0.31 0

0.32 10.1702
0.32 0

0.33 10.348
0.33 0

0.34 10.0502
0.34 0

0.35 9.2353
0.35 0

0.36 7.88423
0.36 0

0.37 6.00371
0.37 0

0.38 3.62819
0.38 0

0.39 0.820662
0.39 0

0.4 -2.328
0.4 0

0.41 -5.70119
0.41 0

0.42 -9.16025
0.42 0

0.43 -12.5495
0.43 0

0.44 -15.7028
0.44 0

0.45 -18.4504
0.45 0

0.46 -20.6277
0.46 0

0.47 -22.0832
0.47 0

0.48 -22.6872
0.48 0

0.49 -22.3395
0.49 0

0.5 -20.9768
0.5 0

0.51 -18.578
0.51 0

0.52 -15.169
0.52 0

0.53 -10.8241
0.53 0

0.54 -5.66666
0.54 0

0.55 0.133877
0.55 0

0.56 6.36623
0.56 0

0.57 12.7845
0.57 0

0.58 19.1173
0.58 0

0.59 25.0783
0.59 0

0.6 30.3787
0.6 0

0.61 34.7405
0.61 0

0.62 37.9092
0.62 0

0.63 39.6676
0.63 0

0.64 39.8472
0.64 0

0.65 38.3396
0.65 0

0.66 35.1043
0.66 0

0.67 30.1747
0.67 0

0.68 23.6612
0.68 0

0.69 15.7501
0.69 0

0.7 6.70012
0.7 0

0.71 -3.16533
0.71 0

0.72 -13.4689
0.72 0

0.73 -23.7932
0.73 0

0.74 -33.6967
0.74 0

0.75 -42.7324
0.75 0

0.76 -50.467
0.76 0

0.77 -56.5006
0.77 0

0.78 -60.4858
0.78 0

0.79 -62.1459
0.79 0

0.8 -61.2902
0.8 0

0.81 -57.8268
0.81 0

0.82 -51.7713
0.82 0

0.83 -43.2511
0.83 0

0.84 -32.5055
0.84 0

0.85 -19.8806
0.85 0

0.86 -5.81904
0.86 0

0.87 9.15422
0.87 0

0.88 24.4512
0.88 0

0.89 39.4431
0.89 0

0.9 53.4857
0.9 0

0.91 65.9459
0.91 0

0.92 76.2302
0.92 0

0.93 83.8107
0.93 0

0.94 88.2515
0.94 0

0.95 89.2306
0.95 0

0.96 86.5585
0.96 0

0.97 80.1922
0.97 0

0.98 70.2423
0.98 0

0.99 56.9754
0.99 0

