x	RungeKutta4	SoluciónExacta	Error
6	0.148492	0.149071	0.000578774
6.01	0.148295	0.148873	0.000578004
6.02	0.148097	0.148675	0.000577235
6.03	0.147901	0.148477	0.000576467
6.04	0.147704	0.14828	0.000575702
6.05	0.147508	0.148083	0.000574938
6.06	0.147313	0.147887	0.000574176
6.07	0.147118	0.147691	0.000573416
6.08	0.146923	0.147496	0.000572658
6.09	0.146729	0.147301	0.000571901
6.1	0.146535	0.147107	0.000571147
6.11	0.146342	0.146913	0.000570394
6.12	0.146149	0.146719	0.000569642
6.13	0.145957	0.146526	0.000568893
6.14	0.145765	0.146333	0.000568145
6.15	0.145574	0.146141	0.000567399
6.16	0.145383	0.145949	0.000566654
6.17	0.145192	0.145758	0.000565912
6.18	0.145002	0.145567	0.000565171
6.19	0.144813	0.145377	0.000564431
6.2	0.144623	0.145187	0.000563694
6.21	0.144434	0.144997	0.000562958
6.22	0.144246	0.144808	0.000562224
6.23	0.144058	0.14462	0.000561491
6.24	0.143871	0.144431	0.000560761
6.25	0.143684	0.144244	0.000560031
6.26	0.143497	0.144056	0.000559304
6.27	0.143311	0.143869	0.000558578
6.28	0.143125	0.143683	0.000557854
6.29	0.14294	0.143497	0.000557132
6.3	0.142755	0.143311	0.000556411
6.31	0.14257	0.143126	0.000555692
6.32	0.142386	0.142941	0.000554974
6.33	0.142203	0.142757	0.000554259
6.34	0.142019	0.142573	0.000553544
6.35	0.141837	0.142389	0.000552832
6.36	0.141654	0.142206	0.000552121
6.37	0.141472	0.142024	0.000551412
6.38	0.141291	0.141841	0.000550704
6.39	0.141109	0.141659	0.000549998
6.4	0.140929	0.141478	0.000549293
6.41	0.140748	0.141297	0.000548591
6.42	0.140568	0.141116	0.000547889
6.43	0.140389	0.140936	0.00054719
6.44	0.14021	0.140756	0.000546492
6.45	0.140031	0.140577	0.000545795
6.46	0.139853	0.140398	0.0005451
6.47	0.139675	0.140219	0.000544407
6.48	0.139497	0.140041	0.000543715
6.49	0.13932	0.139863	0.000543025
6.5	0.139144	0.139686	0.000542336
6.51	0.138967	0.139509	0.000541649
6.52	0.138792	0.139333	0.000540964
6.53	0.138616	0.139156	0.00054028
6.54	0.138441	0.138981	0.000539597
6.55	0.138266	0.138805	0.000538916
6.56	0.138092	0.13863	0.000538237
6.57	0.137918	0.138456	0.000537559
