	masa_A
t	x
8,291667E0	-7,173200E0
8,325000E0	-6,256594E0
8,358333E0	-4,356602E0
8,391667E0	-2,419272E0
8,425000E0	-2,060229E-1
8,458333E0	1,549563E0
8,491667E0	4,496712E0
8,525000E0	5,388268E0
8,558333E0	7,725796E0
8,591667E0	9,171312E0
8,625000E0	1,117280E1
8,658333E0	1,228266E1
8,691667E0	1,322326E1
8,725000E0	1,411317E1
8,758333E0	1,496235E1
8,791667E0	1,500875E1
8,825000E0	1,504612E1
8,858333E0	1,504967E1
8,891667E0	1,509664E1
8,925000E0	1,511417E1
8,958333E0	1,417517E1
8,991667E0	1,335014E1
9,025000E0	1,254494E1
9,058333E0	1,148041E1
9,091667E0	1,050797E1
9,125000E0	9,543160E0
9,158333E0	7,833614E0
9,191667E0	6,829894E0
9,225000E0	5,082966E0
9,258333E0	3,253836E0
9,291667E0	1,532907E0
9,325000E0	-1,803825E-1
9,358333E0	-1,404595E0
9,391667E0	-3,110893E0
9,425000E0	-4,669461E0
9,458333E0	-5,898667E0
9,491667E0	-6,140203E0
9,525000E0	-7,435557E0
9,558333E0	-8,275470E0
9,591667E0	-9,365415E0
9,625000E0	-1,010897E1
9,658333E0	-1,145519E1
9,691667E0	-1,194184E1
9,725000E0	-1,140881E1
9,758333E0	-1,134299E1
9,791667E0	-1,131360E1
9,825000E0	-1,118950E1
9,858333E0	-1,117300E1
9,891667E0	-1,045093E1
9,925000E0	-9,605078E0
9,958333E0	-9,491820E0
9,991667E0	-8,607340E0
1,002500E1	-7,496172E0
1,005833E1	-5,966361E0
1,009167E1	-5,052770E0
1,012500E1	-4,096575E0
1,015833E1	-3,137916E0
1,019167E1	-2,041579E0
1,022500E1	-1,271675E0
1,025833E1	-3,190090E-1
1,029167E1	6,499276E-1
1,032500E1	1,553555E0
1,035833E1	2,442630E0
1,039167E1	2,648131E0
1,042500E1	3,539707E0
1,045833E1	4,349357E0
1,049167E1	5,142901E0
1,052500E1	5,856616E0
1,055833E1	6,115183E0
1,059167E1	6,202979E0
1,062500E1	6,436429E0
1,065833E1	6,455687E0
1,069167E1	6,552021E0
1,072500E1	6,471539E0
1,075833E1	6,544499E0
1,079167E1	6,029772E0
1,082500E1	5,699813E0
1,085833E1	5,162875E0
1,089167E1	4,580053E0
1,092500E1	4,727967E0
1,095833E1	3,850660E0
1,099167E1	3,033739E0
1,102500E1	2,431453E0
1,105833E1	1,742875E0
1,109167E1	1,322076E0
1,112500E1	5,154138E-1
1,115833E1	-2,540148E-1
1,119167E1	-8,142438E-1
1,122500E1	-1,528982E0
1,125833E1	-2,117958E0
1,129167E1	-2,827448E0
1,132500E1	-3,084333E0
1,135833E1	-3,592115E0
1,139167E1	-3,857917E0
1,142500E1	-4,345989E0
1,145833E1	-4,415874E0
1,149167E1	-4,346298E0
1,152500E1	-4,591709E0
1,155833E1	-4,568288E0
1,159167E1	-4,547924E0
1,162500E1	-4,565450E0
1,165833E1	-4,562913E0
1,169167E1	-4,285810E0
1,172500E1	-4,155150E0
1,175833E1	-4,045475E0
1,179167E1	-3,788033E0
1,182500E1	-3,816827E0
1,185833E1	-3,724430E0
1,189167E1	-3,666303E0
1,192500E1	-3,150301E0
1,195833E1	-3,070779E0
1,199167E1	-2,745437E0
1,202500E1	-1,629472E0
1,205833E1	-2,146581E0
1,209167E1	-1,801054E0
1,212500E1	-1,662483E0
1,215833E1	-1,532348E0
1,219167E1	-8,853945E-1
1,222500E1	-8,553971E-1
1,225833E1	-8,675507E-1
1,229167E1	-8,505498E-1
1,232500E1	-2,416388E-2
1,235833E1	2,071279E-1
1,239167E1	3,329612E-1
1,242500E1	1,763186E-1
1,245833E1	1,810776E-1
1,249167E1	1,630148E-1
1,252500E1	1,689261E-1
1,255833E1	1,689261E-1
